record_id,run,audit_input_tokens,audit_output_tokens,audit_total_tokens,audit_latency_seconds,audit_contradiction_count,audit_cost_usd
P01,1,1454,2168,3622,41.630873680114746,0,0.07231
P01,2,1599,1395,2994,24.429644107818604,0,0.049845
P01,3,1694,2050,3744,55.09129571914673,0,0.06997
P02,1,1377,1355,2732,20.790921926498413,0,0.047535
P02,2,1408,1433,2841,23.729870796203613,0,0.05003
P02,3,1443,1183,2626,24.902879238128662,0,0.042705
P03,1,1687,1381,3068,29.45781970024109,0,0.049865
P03,2,1558,1384,2942,26.36228084564209,0,0.04931
P03,3,1594,1437,3031,32.05349040031433,0,0.05108
P04,1,1675,1830,3505,32.559325218200684,0,0.063275
P04,2,1408,1171,2579,21.221355438232422,0,0.04217
P04,3,1242,1415,2657,24.344019412994385,0,0.04866
P05,1,1602,1945,3547,32.26837611198425,0,0.06636
P05,2,1596,1503,3099,27.004661321640015,0,0.05307
P05,3,1404,2191,3595,40.002894163131714,0,0.07275
P06,1,1474,1771,3245,27.498547792434692,0,0.0605
P06,2,1603,1588,3191,28.197850942611694,0,0.055655
P06,3,1632,2140,3772,39.28445649147034,0,0.07236
P07,1,1777,1513,3290,24.986806392669678,0,0.054275
P07,2,1612,1652,3264,30.744519233703613,0,0.05762
P07,3,1581,1387,2968,23.794649600982666,0,0.049515
P08,1,1736,1618,3354,34.745988845825195,0,0.05722
P08,2,1691,1957,3648,31.491539478302002,0,0.067165
P08,3,1728,1396,3124,31.07059907913208,0,0.05052
P09,1,1540,1602,3142,30.745914697647095,0,0.05576
P09,2,1677,1717,3394,29.12515687942505,0,0.059895
P09,3,1750,1388,3138,24.482030153274536,0,0.05039
P10,1,1511,1560,3071,20.70732092857361,0,0.054355
P10,2,1703,1699,3402,31.157418251037598,0,0.059485
P10,3,1602,1564,3166,29.51804518699646,0,0.05493
P11,1,1623,1908,3531,35.2602117061615,0,0.065355
P11,2,1665,1832,3497,28.577512741088867,0,0.063285
P11,3,1605,1963,3568,33.08900785446167,0,0.066915
P12,1,1796,1422,3218,24.33640146255493,0,0.05164
P12,2,1588,2110,3698,36.81940221786499,0,0.07124
P12,3,1555,1942,3497,34.16433310508728,0,0.066035
P13,1,1460,1990,3450,36.26371431350708,0,0.067
P13,2,1564,1427,2991,23.29626703262329,0,0.05063
P13,3,1405,2154,3559,42.98658227920532,0,0.071645
P14,1,1627,2071,3698,33.40497446060181,0,0.070265
P14,2,1540,1589,3129,25.02658438682556,0,0.05537
P14,3,1674,1872,3546,33.276652336120605,0,0.06453
P15,1,1727,1564,3291,24.23856258392334,0,0.055555
P15,2,1565,1454,3019,22.75865387916565,0,0.051445
P15,3,1431,1949,3380,32.25382924079895,0,0.065625
P16,1,1653,1629,3282,29.594086408615112,0,0.057135
P16,2,1693,1421,3114,25.78765296936035,0,0.051095
P16,3,1604,1858,3462,39.3869092464447,0,0.06376
P17,1,1885,1922,3807,26.8394558429718,0,0.067085
P17,2,1814,2095,3909,36.75932431221008,0,0.07192
P17,3,1973,2123,4096,35.04832172393799,0,0.073555
P18,1,1819,1236,3055,19.196452379226685,0,0.046175
P18,2,1479,1957,3436,35.22116279602051,0,0.066105
P18,3,1726,2122,3848,37.65586805343628,0,0.07229
P19,1,1455,2075,3530,38.42738103866577,0,0.069525
P19,2,1792,1472,3264,29.596786737442017,0,0.05312
P19,3,1558,1530,3088,29.656558990478516,0,0.05369
P20,1,1866,1812,3678,35.99579119682312,0,0.06369
P20,2,1589,1692,3281,32.65238833427429,0,0.058705
P20,3,1606,1384,2990,24.810234308242798,0,0.04955
