metric,mean,sd,min,max,n_predictions
section_completion_rate,1.0,0.0,1.0,1.0,20
key_claim_overlap,0.30933384737168584,0.14044674509679747,0.12775842044134728,0.4656907028136712,20
semantic_similarity,0.8510884484133949,0.016526931727338916,0.8074985450781482,0.8687445946429335,20
recommendation_consistency,0.4632974227498221,0.22143415752734744,0.19999999999999998,0.8126361655773421,20
contradiction_rate,0.0,0.0,0.0,0.0,20
mean_latency_seconds,42.083256880442306,4.175246747427846,35.23613746960958,53.27739214897156,20
mean_total_tokens,2391.283333333333,142.005612070964,2123.3333333333335,2804.6666666666665,20
total_report_cost_usd,0.17506049999999998,0.012486202374494899,0.151725,0.211245,20
total_audit_cost_usd,0.17712575,0.017498166165193903,0.14027,0.21255999999999997,20
total_cost_usd,0.35218625,0.02546865678865733,0.29744,0.423805,20
